avg_loss_pct,avg_win_pct,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,return_pct,risk_per_trade_pct,time_stop_minutes,trade_count,tsl_activation_pct,tsl_base_trail_pct,win_rate
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,6,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,6,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,6,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,7,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,7,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,7,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,7,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,7,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,7,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,7,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,7,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,7,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,8,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,8,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,8,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,8,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,8,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,8,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,8,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,8,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,8,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,9,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,9,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,9,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,9,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,9,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,9,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,9,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,9,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,9,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,10,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,10,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,10,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,10,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,10,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,10,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,10,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,10,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,10,5,125,5.0,3.5,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,1,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,1,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,1,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,1,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,1,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,1,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,1,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,1,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,1,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,2,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,2,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,2,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,2,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,2,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,2,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,2,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,2,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,2,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,3,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,3,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,3,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,3,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,3,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,3,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,3,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,3,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,3,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,4,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,4,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,4,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,4,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,4,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,4,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,4,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,4,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,4,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,5,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,5,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,5,5,343,5.0,4.0,0.3178
