Index,Strike,Direction,Lots,Entry Date,Entry Time,Entry ₹,Exit Date,Exit Time,Exit ₹,Reason,P&L,P&L %,Hold (min)
NIFTY50,19000,BEARISH,2,30 Oct 23,09:15 AM,61.96,30 Oct 23,09:18 AM,66.25,tsl_hit,214.5,6.92,3
NIFTY50,19000,BEARISH,1,30 Oct 23,10:05 AM,99.06,30 Oct 23,10:10 AM,89.49,hard_sl_hit,-239.25,-9.66,5
NIFTY50,19100,BEARISH,3,30 Oct 23,12:05 PM,38.03,30 Oct 23,12:20 PM,49.0,tsl_hit,822.75,28.85,15
NIFTY50,19100,BEARISH,3,30 Oct 23,01:15 PM,33.67,30 Oct 23,01:20 PM,31.81,time_stop,-139.5,-5.52,5
NIFTY50,19150,BEARISH,2,30 Oct 23,01:34 PM,49.17,30 Oct 23,01:46 PM,51.91,tsl_hit,137.0,5.57,12
NIFTY50,19200,BEARISH,2,31 Oct 23,09:17 AM,60.9,31 Oct 23,09:21 AM,68.11,tsl_hit,360.5,11.84,4
NIFTY50,19100,BEARISH,2,31 Oct 23,11:27 AM,47.87,31 Oct 23,11:32 AM,46.95,time_stop,-46.0,-1.92,5
NIFTY50,19100,BEARISH,5,31 Oct 23,01:08 PM,24.96,31 Oct 23,01:18 PM,21.97,hard_sl_hit,-373.75,-11.98,10
NIFTY50,19100,BULLISH,4,31 Oct 23,01:27 PM,30.1,31 Oct 23,01:31 PM,51.13,tsl_hit,2103.0,69.87,4
NIFTY50,19050,BULLISH,5,01 Nov 23,11:32 AM,28.12,01 Nov 23,11:38 AM,24.54,hard_sl_hit,-447.5,-12.73,6
NIFTY50,19050,BEARISH,7,01 Nov 23,12:17 PM,19.76,01 Nov 23,12:19 PM,18.88,tsl_hit,-154.0,-4.45,2
NIFTY50,19050,BULLISH,7,01 Nov 23,01:03 PM,19.58,01 Nov 23,01:08 PM,17.37,hard_sl_hit,-386.75,-11.29,5
NIFTY50,19000,BULLISH,4,01 Nov 23,01:14 PM,29.6,01 Nov 23,01:16 PM,23.82,hard_sl_hit,-578.0,-19.53,2
NIFTY50,19000,BULLISH,5,01 Nov 23,01:18 PM,26.28,01 Nov 23,01:21 PM,31.67,tsl_hit,673.75,20.51,3
NIFTY50,19000,BULLISH,5,01 Nov 23,03:05 PM,26.68,01 Nov 23,03:07 PM,23.92,hard_sl_hit,-345.0,-10.34,2
NIFTY50,19100,BULLISH,9,02 Nov 23,01:25 PM,13.8,02 Nov 23,01:26 PM,7.1,hard_sl_hit,-1507.5,-48.55,1
NIFTY50,19150,BEARISH,11,02 Nov 23,03:02 PM,11.4,02 Nov 23,03:06 PM,15.7,tsl_hit,1182.5,37.72,4
NIFTY50,19250,BULLISH,2,03 Nov 23,11:32 AM,63.52,03 Nov 23,11:37 AM,60.92,time_stop,-130.0,-4.09,5
NIFTY50,19250,BEARISH,4,03 Nov 23,12:42 PM,27.33,03 Nov 23,12:55 PM,28.63,tsl_hit,130.0,4.76,13
NIFTY50,19300,BEARISH,1,06 Nov 23,09:17 AM,96.96,06 Nov 23,09:22 AM,86.1,hard_sl_hit,-271.5,-11.2,5
NIFTY50,19350,BULLISH,1,06 Nov 23,10:52 AM,105.66,06 Nov 23,10:55 AM,37.63,hard_sl_hit,-1700.75,-64.39,3
NIFTY50,19300,BULLISH,2,06 Nov 23,11:07 AM,61.06,06 Nov 23,11:21 AM,67.91,tsl_hit,342.5,11.22,14
NIFTY50,19350,BEARISH,13,06 Nov 23,02:17 PM,9.58,06 Nov 23,02:19 PM,8.21,hard_sl_hit,-445.25,-14.3,2
NIFTY50,19350,BULLISH,2,07 Nov 23,09:18 AM,60.36,07 Nov 23,09:26 AM,68.55,tsl_hit,409.5,13.57,8
NIFTY50,19350,BULLISH,3,07 Nov 23,11:47 AM,33.94,07 Nov 23,11:49 AM,29.71,hard_sl_hit,-317.25,-12.46,2
NIFTY50,19450,BEARISH,4,08 Nov 23,09:59 AM,25.86,08 Nov 23,10:01 AM,22.77,hard_sl_hit,-309.0,-11.95,2
NIFTY50,19450,BULLISH,6,08 Nov 23,11:00 AM,18.18,08 Nov 23,11:02 AM,16.32,hard_sl_hit,-279.0,-10.23,2
NIFTY50,19400,BULLISH,3,08 Nov 23,11:14 AM,31.61,08 Nov 23,11:26 AM,39.0,tsl_hit,554.25,23.38,12
NIFTY50,19450,BULLISH,8,08 Nov 23,11:57 AM,14.95,08 Nov 23,12:02 PM,16.52,tsl_hit,314.0,10.5,5
NIFTY50,19400,BULLISH,7,09 Nov 23,09:52 AM,16.6,09 Nov 23,09:56 AM,32.4,tsl_hit,2765.0,95.18,4
NIFTY50,19400,BULLISH,6,09 Nov 23,01:44 PM,20.7,09 Nov 23,01:47 PM,18.0,hard_sl_hit,-405.0,-13.04,3
NIFTY50,19400,BULLISH,5,09 Nov 23,02:01 PM,24.1,09 Nov 23,02:03 PM,15.1,hard_sl_hit,-1125.0,-37.34,2
NIFTY50,19350,BEARISH,1,10 Nov 23,09:15 AM,120.5,10 Nov 23,10:18 AM,107.04,hard_sl_hit,-336.5,-11.17,63
NIFTY50,19350,BEARISH,1,10 Nov 23,10:39 AM,94.59,10 Nov 23,10:55 AM,38.38,hard_sl_hit,-1405.25,-59.42,16
NIFTY50,19350,BULLISH,1,10 Nov 23,02:28 PM,73.04,10 Nov 23,02:40 PM,82.7,tsl_hit,241.5,13.23,12
NIFTY50,19500,BEARISH,1,12 Nov 23,06:17 PM,97.8,12 Nov 23,06:22 PM,89.55,time_stop,-206.25,-8.44,5
NIFTY50,19450,BEARISH,1,13 Nov 23,10:53 AM,93.39,13 Nov 23,10:55 AM,56.02,hard_sl_hit,-934.25,-40.01,2
NIFTY50,19450,BEARISH,6,13 Nov 23,01:32 PM,18.52,13 Nov 23,01:37 PM,18.19,tsl_hit,-49.5,-1.78,5
NIFTY50,19450,BEARISH,6,13 Nov 23,02:02 PM,20.25,13 Nov 23,02:05 PM,18.28,hard_sl_hit,-295.5,-9.73,3
NIFTY50,19450,BULLISH,3,13 Nov 23,02:41 PM,30.23,13 Nov 23,02:45 PM,27.42,hard_sl_hit,-210.75,-9.3,4
NIFTY50,19450,BULLISH,4,13 Nov 23,02:46 PM,28.82,13 Nov 23,02:51 PM,26.31,time_stop,-251.0,-8.71,5
NIFTY50,19450,BULLISH,4,13 Nov 23,03:03 PM,24.07,13 Nov 23,03:07 PM,30.95,tsl_hit,688.0,28.58,4
NIFTY50,19600,BEARISH,1,15 Nov 23,09:17 AM,92.35,15 Nov 23,09:31 AM,81.26,hard_sl_hit,-277.25,-12.01,14
NIFTY50,19650,BEARISH,6,15 Nov 23,12:24 PM,18.56,15 Nov 23,12:35 PM,21.31,tsl_hit,412.5,14.82,11
NIFTY50,19850,BEARISH,7,16 Nov 23,02:22 PM,17.1,16 Nov 23,02:25 PM,16.8,tsl_hit,-52.5,-1.75,3
NIFTY50,19800,BULLISH,1,17 Nov 23,11:08 AM,79.18,17 Nov 23,11:13 AM,74.27,time_stop,-122.75,-6.2,5
NIFTY50,19750,BULLISH,1,17 Nov 23,11:16 AM,100.23,17 Nov 23,11:21 AM,93.49,time_stop,-168.5,-6.72,5
NIFTY50,19800,BEARISH,1,17 Nov 23,11:44 AM,74.88,17 Nov 23,11:55 AM,66.37,hard_sl_hit,-212.75,-11.36,11
NIFTY50,19750,BULLISH,1,17 Nov 23,01:22 PM,62.53,17 Nov 23,01:52 PM,55.35,hard_sl_hit,-179.5,-11.48,30
NIFTY50,19700,BEARISH,3,20 Nov 23,12:55 PM,31.14,20 Nov 23,01:00 PM,31.62,tsl_hit,36.0,1.54,5
NIFTY50,19700,BEARISH,4,20 Nov 23,01:11 PM,24.54,20 Nov 23,01:22 PM,21.96,hard_sl_hit,-258.0,-10.51,11
NIFTY50,19750,BEARISH,1,21 Nov 23,09:17 AM,58.95,21 Nov 23,09:22 AM,52.98,hard_sl_hit,-149.25,-10.13,5
NIFTY50,19800,BEARISH,3,21 Nov 23,11:22 AM,30.12,21 Nov 23,11:31 AM,27.08,hard_sl_hit,-228.0,-10.09,9
NIFTY50,19800,BEARISH,7,21 Nov 23,12:16 PM,16.48,21 Nov 23,12:18 PM,15.22,tsl_hit,-220.5,-7.65,2
NIFTY50,19800,BEARISH,7,22 Nov 23,09:25 AM,14.78,22 Nov 23,09:30 AM,19.07,tsl_hit,750.75,29.03,5
