hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
5.0,1.0,2025-10,-9512.3,-19.025,5,5,54,0.4815
5.0,1.0,2025-11,-16718.1,-33.436,5,5,53,0.434
5.0,1.0,2025-12,-17703.7,-35.407,5,5,63,0.3651
5.0,1.0,2026-01,-1757.7,-3.515,5,5,47,0.4043
5.0,1.0,2026-02,1476.3,2.953,5,5,70,0.5571
5.0,1.0,2026-03,-3551.1,-7.102,5,5,22,0.3182
5.0,0.8,2025-09,31252.2,62.504,6,5,179,0.4637
5.0,0.8,2025-10,-76135.5,-152.271,6,5,214,0.4206
5.0,0.8,2025-11,-3002.3,-6.005,6,5,29,0.3448
5.0,0.85,2025-09,17335.5,34.671,6,5,120,0.425
5.0,0.85,2025-10,-61222.0,-122.444,6,5,148,0.3919
5.0,0.85,2025-11,-3723.3,-7.447,6,5,24,0.2917
5.0,0.9,2025-09,8535.8,17.072,6,5,93,0.4194
5.0,0.9,2025-10,-49203.0,-98.406,6,5,109,0.3945
5.0,0.9,2025-11,-7105.7,-14.211,6,5,31,0.1935
5.0,0.95,2025-09,-6414.1,-12.828,6,5,64,0.3906
5.0,0.95,2025-10,-30077.6,-60.155,6,5,73,0.411
5.0,0.95,2025-11,-8663.2,-17.326,6,5,71,0.3803
5.0,0.95,2025-12,-2623.6,-5.247,6,5,83,0.3614
5.0,1.0,2025-09,-276.5,-0.553,6,5,51,0.3725
5.0,1.0,2025-10,-9512.3,-19.025,6,5,54,0.4815
5.0,1.0,2025-11,-16718.1,-33.436,6,5,53,0.434
5.0,1.0,2025-12,-17703.7,-35.407,6,5,63,0.3651
5.0,1.0,2026-01,-1757.7,-3.515,6,5,47,0.4043
5.0,1.0,2026-02,1476.3,2.953,6,5,70,0.5571
5.0,1.0,2026-03,-3551.1,-7.102,6,5,22,0.3182
5.0,0.8,2025-09,31252.2,62.504,7,5,179,0.4637
5.0,0.8,2025-10,-76135.5,-152.271,7,5,214,0.4206
5.0,0.8,2025-11,-3002.3,-6.005,7,5,29,0.3448
5.0,0.85,2025-09,17335.5,34.671,7,5,120,0.425
5.0,0.85,2025-10,-61222.0,-122.444,7,5,148,0.3919
5.0,0.85,2025-11,-3723.3,-7.447,7,5,24,0.2917
5.0,0.9,2025-09,8535.8,17.072,7,5,93,0.4194
5.0,0.9,2025-10,-49203.0,-98.406,7,5,109,0.3945
5.0,0.9,2025-11,-7105.7,-14.211,7,5,31,0.1935
5.0,0.95,2025-09,-6414.1,-12.828,7,5,64,0.3906
5.0,0.95,2025-10,-30077.6,-60.155,7,5,73,0.411
5.0,0.95,2025-11,-8663.2,-17.326,7,5,71,0.3803
5.0,0.95,2025-12,-2623.6,-5.247,7,5,83,0.3614
5.0,1.0,2025-09,-276.5,-0.553,7,5,51,0.3725
5.0,1.0,2025-10,-9512.3,-19.025,7,5,54,0.4815
5.0,1.0,2025-11,-16718.1,-33.436,7,5,53,0.434
5.0,1.0,2025-12,-17703.7,-35.407,7,5,63,0.3651
5.0,1.0,2026-01,-1757.7,-3.515,7,5,47,0.4043
5.0,1.0,2026-02,1476.3,2.953,7,5,70,0.5571
5.0,1.0,2026-03,-3551.1,-7.102,7,5,22,0.3182
5.0,0.8,2025-09,31252.2,62.504,8,5,179,0.4637
5.0,0.8,2025-10,-76135.5,-152.271,8,5,214,0.4206
5.0,0.8,2025-11,-3002.3,-6.005,8,5,29,0.3448
5.0,0.85,2025-09,17335.5,34.671,8,5,120,0.425
5.0,0.85,2025-10,-61222.0,-122.444,8,5,148,0.3919
5.0,0.85,2025-11,-3723.3,-7.447,8,5,24,0.2917
5.0,0.9,2025-09,8535.8,17.072,8,5,93,0.4194
5.0,0.9,2025-10,-49203.0,-98.406,8,5,109,0.3945
5.0,0.9,2025-11,-7105.7,-14.211,8,5,31,0.1935
5.0,0.95,2025-09,-6414.1,-12.828,8,5,64,0.3906
5.0,0.95,2025-10,-30077.6,-60.155,8,5,73,0.411
5.0,0.95,2025-11,-8663.2,-17.326,8,5,71,0.3803
5.0,0.95,2025-12,-2623.6,-5.247,8,5,83,0.3614
5.0,1.0,2025-09,-276.5,-0.553,8,5,51,0.3725
5.0,1.0,2025-10,-9512.3,-19.025,8,5,54,0.4815
5.0,1.0,2025-11,-16718.1,-33.436,8,5,53,0.434
5.0,1.0,2025-12,-17703.7,-35.407,8,5,63,0.3651
5.0,1.0,2026-01,-1757.7,-3.515,8,5,47,0.4043
5.0,1.0,2026-02,1476.3,2.953,8,5,70,0.5571
5.0,1.0,2026-03,-3551.1,-7.102,8,5,22,0.3182
5.0,0.8,2025-09,31252.2,62.504,9,5,179,0.4637
5.0,0.8,2025-10,-76135.5,-152.271,9,5,214,0.4206
5.0,0.8,2025-11,-3002.3,-6.005,9,5,29,0.3448
5.0,0.85,2025-09,17335.5,34.671,9,5,120,0.425
5.0,0.85,2025-10,-61222.0,-122.444,9,5,148,0.3919
5.0,0.85,2025-11,-3723.3,-7.447,9,5,24,0.2917
5.0,0.9,2025-09,8535.8,17.072,9,5,93,0.4194
5.0,0.9,2025-10,-49203.0,-98.406,9,5,109,0.3945
5.0,0.9,2025-11,-7105.7,-14.211,9,5,31,0.1935
5.0,0.95,2025-09,-6414.1,-12.828,9,5,64,0.3906
5.0,0.95,2025-10,-30077.6,-60.155,9,5,73,0.411
5.0,0.95,2025-11,-8663.2,-17.326,9,5,71,0.3803
5.0,0.95,2025-12,-2623.6,-5.247,9,5,83,0.3614
5.0,1.0,2025-09,-276.5,-0.553,9,5,51,0.3725
5.0,1.0,2025-10,-9512.3,-19.025,9,5,54,0.4815
5.0,1.0,2025-11,-16718.1,-33.436,9,5,53,0.434
5.0,1.0,2025-12,-17703.7,-35.407,9,5,63,0.3651
5.0,1.0,2026-01,-1757.7,-3.515,9,5,47,0.4043
5.0,1.0,2026-02,1476.3,2.953,9,5,70,0.5571
5.0,1.0,2026-03,-3551.1,-7.102,9,5,22,0.3182
5.0,0.8,2025-09,31252.2,62.504,10,5,179,0.4637
5.0,0.8,2025-10,-76135.5,-152.271,10,5,214,0.4206
5.0,0.8,2025-11,-3002.3,-6.005,10,5,29,0.3448
5.0,0.85,2025-09,17335.5,34.671,10,5,120,0.425
5.0,0.85,2025-10,-61222.0,-122.444,10,5,148,0.3919
5.0,0.85,2025-11,-3723.3,-7.447,10,5,24,0.2917
5.0,0.9,2025-09,8535.8,17.072,10,5,93,0.4194
5.0,0.9,2025-10,-49203.0,-98.406,10,5,109,0.3945
5.0,0.9,2025-11,-7105.7,-14.211,10,5,31,0.1935
5.0,0.95,2025-09,-6414.1,-12.828,10,5,64,0.3906
5.0,0.95,2025-10,-30077.6,-60.155,10,5,73,0.411
5.0,0.95,2025-11,-8663.2,-17.326,10,5,71,0.3803
5.0,0.95,2025-12,-2623.6,-5.247,10,5,83,0.3614
5.0,1.0,2025-09,-276.5,-0.553,10,5,51,0.3725
5.0,1.0,2025-10,-9512.3,-19.025,10,5,54,0.4815
