composite_score,full_avg_loss_pct,full_avg_win_pct,full_max_dd_pct,full_return_pct,full_trades,full_win_rate,hard_sl_pct,index_id,min_confidence,test_avg_loss_pct,test_avg_win_pct,test_max_dd_pct,test_return_pct,test_trades,test_win_rate,train_return_pct,train_trades,tsl_activation_pct,walk_forward
0.0162,,,,,,,27,FINNIFTY,0.65,28.28,4.89,7.35,-6.03,9,0.5556,-5.77,37,10,True
,26.35,15.81,20.29,-14.45,50,0.5,27,FINNIFTY,0.65,,,,,,,,,10,False
,,,,,,,27,NIFTY50,0.5,37.95,34.24,2.79,-0.79,2,0.5,-6.86,22,12,True
,24.16,18.77,14.25,-8.7,28,0.4643,27,NIFTY50,0.5,,,,,,,,,12,False
0.0893,,,,,,,27,BANKNIFTY,0.5,35.33,19.72,10.59,-4.44,22,0.5909,-4.52,74,12,True
,28.19,25.1,28.11,-12.61,101,0.505,27,BANKNIFTY,0.5,,,,,,,,,12,False
0.0162,,,,,,,27,FINNIFTY,0.5,28.28,4.89,7.35,-6.03,9,0.5556,-6.59,37,12,True
,26.47,15.7,20.69,-14.95,50,0.5,27,FINNIFTY,0.5,,,,,,,,,12,False
,,,,,,,27,NIFTY50,0.6,37.95,34.24,2.79,-0.79,2,0.5,-6.86,22,12,True
,24.16,18.77,14.25,-8.7,28,0.4643,27,NIFTY50,0.6,,,,,,,,,12,False
0.0893,,,,,,,27,BANKNIFTY,0.6,35.33,19.72,10.59,-4.44,22,0.5909,-4.52,74,12,True
,28.19,25.1,28.11,-12.61,101,0.505,27,BANKNIFTY,0.6,,,,,,,,,12,False
0.0162,,,,,,,27,FINNIFTY,0.6,28.28,4.89,7.35,-6.03,9,0.5556,-6.59,37,12,True
,26.47,15.7,20.69,-14.95,50,0.5,27,FINNIFTY,0.6,,,,,,,,,12,False
,,,,,,,27,NIFTY50,0.65,37.95,34.24,2.79,-0.79,2,0.5,-6.86,22,12,True
,24.16,18.77,14.25,-8.7,28,0.4643,27,NIFTY50,0.65,,,,,,,,,12,False
0.0893,,,,,,,27,BANKNIFTY,0.65,35.33,19.72,10.59,-4.44,22,0.5909,-4.52,74,12,True
,28.19,25.1,28.11,-12.61,101,0.505,27,BANKNIFTY,0.65,,,,,,,,,12,False
0.0162,,,,,,,27,FINNIFTY,0.65,28.28,4.89,7.35,-6.03,9,0.5556,-6.59,37,12,True
,26.47,15.7,20.69,-14.95,50,0.5,27,FINNIFTY,0.65,,,,,,,,,12,False
,,,,,,,27,NIFTY50,0.5,37.95,34.24,2.79,-0.79,2,0.5,-6.47,21,15,True
,25.85,19.13,14.2,-8.31,27,0.4815,27,NIFTY50,0.5,,,,,,,,,15,False
0.361,,,,,,,27,BANKNIFTY,0.5,35.54,20.97,10.06,0.07,22,0.6364,-4.45,65,15,True
,33.08,26.35,26.74,-11.57,91,0.5385,27,BANKNIFTY,0.5,,,,,,,,,15,False
0.0162,,,,,,,27,FINNIFTY,0.5,28.28,4.89,7.35,-6.03,9,0.5556,-9.41,35,15,True
,27.77,17.26,23.33,-18.06,47,0.4681,27,FINNIFTY,0.5,,,,,,,,,15,False
,,,,,,,27,NIFTY50,0.6,37.95,34.24,2.79,-0.79,2,0.5,-6.47,21,15,True
,25.85,19.13,14.2,-8.31,27,0.4815,27,NIFTY50,0.6,,,,,,,,,15,False
0.361,,,,,,,27,BANKNIFTY,0.6,35.54,20.97,10.06,0.07,22,0.6364,-4.45,65,15,True
,33.08,26.35,26.74,-11.57,91,0.5385,27,BANKNIFTY,0.6,,,,,,,,,15,False
0.0162,,,,,,,27,FINNIFTY,0.6,28.28,4.89,7.35,-6.03,9,0.5556,-9.41,35,15,True
,27.77,17.26,23.33,-18.06,47,0.4681,27,FINNIFTY,0.6,,,,,,,,,15,False
,,,,,,,27,NIFTY50,0.65,37.95,34.24,2.79,-0.79,2,0.5,-6.47,21,15,True
,25.85,19.13,14.2,-8.31,27,0.4815,27,NIFTY50,0.65,,,,,,,,,15,False
0.361,,,,,,,27,BANKNIFTY,0.65,35.54,20.97,10.06,0.07,22,0.6364,-4.45,65,15,True
,33.08,26.35,26.74,-11.57,91,0.5385,27,BANKNIFTY,0.65,,,,,,,,,15,False
0.0162,,,,,,,27,FINNIFTY,0.65,28.28,4.89,7.35,-6.03,9,0.5556,-9.41,35,15,True
,27.77,17.26,23.33,-18.06,47,0.4681,27,FINNIFTY,0.65,,,,,,,,,15,False
