hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
5.0,1.0,2025-12,136666.69,273.333,2,5,79,0.443
5.0,1.0,2026-01,-69787.46,-139.575,2,5,59,0.2712
5.0,1.0,2026-02,402129.0,804.258,2,5,63,0.5079
5.0,1.0,2026-03,1296695.14,2593.39,2,5,63,0.3333
5.0,1.0,2026-04,-1235144.93,-2470.29,2,5,48,0.3333
5.0,1.0,2026-05,-336702.71,-673.405,2,5,57,0.386
5.0,1.0,2026-06,33225.67,66.451,2,5,74,0.3919
5.0,1.0,2026-07,959957.51,1919.915,2,5,74,0.527
5.0,1.0,2026-08,-154340.29,-308.681,2,5,97,0.4227
5.0,1.0,2026-09,-327396.04,-654.792,2,5,15,0.3333
5.0,0.8,2025-09,-12291.04,-24.582,3,5,183,0.4536
5.0,0.8,2025-10,-17656.54,-35.313,3,5,215,0.4
5.0,0.8,2025-11,-17383.54,-34.767,3,5,242,0.3802
5.0,0.8,2025-12,-1305.41,-2.611,3,5,84,0.369
5.0,0.85,2025-09,25510.01,51.02,3,5,126,0.4603
5.0,0.85,2025-10,-14655.9,-29.312,3,5,146,0.4041
5.0,0.85,2025-11,-51157.84,-102.316,3,5,149,0.3624
5.0,0.85,2025-12,11436.08,22.872,3,5,172,0.4186
5.0,0.85,2026-01,-18537.49,-37.075,3,5,156,0.3013
5.0,0.85,2026-02,-48.83,-0.098,3,5,174,0.408
5.0,0.85,2026-03,-1086.75,-2.174,3,5,36,0.3333
5.0,0.9,2025-09,78704.59,157.409,3,5,101,0.5149
5.0,0.9,2025-10,-64010.89,-128.022,3,5,106,0.3585
5.0,0.9,2025-11,-53476.5,-106.953,3,5,115,0.3739
5.0,0.9,2025-12,1700.74,3.401,3,5,144,0.4167
5.0,0.9,2026-01,-7026.86,-14.054,3,5,115,0.2957
5.0,0.9,2026-02,7555.01,15.11,3,5,132,0.4621
5.0,0.9,2026-03,9179.36,18.359,3,5,111,0.3604
5.0,0.9,2026-04,-20685.0,-41.37,3,5,87,0.3333
5.0,0.9,2026-05,-628.43,-1.257,3,5,2,0.0
5.0,0.95,2025-09,27796.65,55.593,3,5,78,0.5
5.0,0.95,2025-10,-15361.5,-30.723,3,5,76,0.3421
5.0,0.95,2025-11,-29388.71,-58.777,3,5,85,0.4
5.0,0.95,2025-12,78451.54,156.903,3,5,106,0.4245
5.0,0.95,2026-01,-33537.79,-67.076,3,5,82,0.3171
5.0,0.95,2026-02,173302.24,346.604,3,5,95,0.4842
5.0,0.95,2026-03,99504.3,199.009,3,5,89,0.3258
5.0,0.95,2026-04,-313162.24,-626.324,3,5,67,0.3433
5.0,0.95,2026-05,-28755.3,-57.511,3,5,79,0.3797
5.0,0.95,2026-06,-715.58,-1.431,3,5,96,0.3854
5.0,0.95,2026-07,19023.9,38.048,3,5,102,0.5
5.0,0.95,2026-08,-11662.35,-23.325,3,5,125,0.44
5.0,0.95,2026-09,-6385.31,-12.771,3,5,20,0.35
5.0,1.0,2025-09,48618.15,97.236,3,5,51,0.4902
5.0,1.0,2025-10,46206.04,92.412,3,5,55,0.4182
5.0,1.0,2025-11,-12607.61,-25.215,3,5,65,0.4154
5.0,1.0,2025-12,203000.17,406.0,3,5,79,0.443
5.0,1.0,2026-01,-151741.01,-303.482,3,5,59,0.2712
5.0,1.0,2026-02,631159.72,1262.319,3,5,63,0.5079
5.0,1.0,2026-03,1104562.46,2209.125,3,5,63,0.3333
5.0,1.0,2026-04,-1592513.74,-3185.027,3,5,48,0.3333
5.0,1.0,2026-05,-249143.74,-498.287,3,5,57,0.386
5.0,1.0,2026-06,-7105.09,-14.21,3,5,74,0.3919
5.0,1.0,2026-07,339853.24,679.706,3,5,74,0.527
5.0,1.0,2026-08,-121426.99,-242.854,3,5,97,0.4227
5.0,1.0,2026-09,-115710.0,-231.42,3,5,15,0.3333
5.0,0.8,2025-09,-32789.66,-65.579,4,5,183,0.4536
5.0,0.8,2025-10,-10998.22,-21.996,4,5,215,0.4
5.0,0.8,2025-11,-5099.85,-10.2,4,5,80,0.35
