hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
7.0,0.95,2026-01,-6506.06,-13.012,10,35,71,0.4789
7.0,0.95,2026-02,-3762.5,-7.525,10,35,41,0.4634
7.0,1.0,2025-09,-2602.25,-5.204,10,35,49,0.5306
7.0,1.0,2025-10,-39090.19,-78.18,10,35,62,0.4032
7.0,1.0,2025-11,-3218.25,-6.436,10,35,50,0.44
7.0,1.0,2025-12,439.69,0.879,10,35,49,0.5714
7.0,1.0,2026-01,1711.94,3.424,10,35,44,0.5455
7.0,1.0,2026-02,-4574.06,-9.148,10,35,57,0.4912
7.0,1.0,2026-03,-1266.56,-2.533,10,35,18,0.2222
7.0,0.8,2025-09,-4298.44,-8.597,1,40,134,0.5299
7.0,0.8,2025-10,-10878.0,-21.756,1,40,191,0.4712
7.0,0.8,2025-11,-1459.94,-2.92,1,40,187,0.4866
7.0,0.8,2025-12,-4850.12,-9.7,1,40,206,0.5049
7.0,0.8,2026-01,-3944.5,-7.889,1,40,195,0.4769
7.0,0.8,2026-02,3850.0,7.7,1,40,196,0.5255
7.0,0.8,2026-03,-673.31,-1.347,1,40,212,0.4575
7.0,0.8,2026-04,-2279.38,-4.559,1,40,202,0.495
7.0,0.8,2026-05,-1853.25,-3.707,1,40,149,0.4564
7.0,0.85,2025-09,-1333.06,-2.666,1,40,105,0.5333
7.0,0.85,2025-10,-6106.19,-12.212,1,40,142,0.4859
7.0,0.85,2025-11,-2103.5,-4.207,1,40,112,0.4732
7.0,0.85,2025-12,-4378.5,-8.757,1,40,128,0.4844
7.0,0.85,2026-01,-2964.94,-5.93,1,40,128,0.4844
7.0,0.85,2026-02,-476.0,-0.952,1,40,129,0.5271
7.0,0.85,2026-03,-2181.81,-4.364,1,40,138,0.442
7.0,0.85,2026-04,956.81,1.914,1,40,130,0.5154
7.0,0.85,2026-05,-1150.19,-2.3,1,40,90,0.4778
7.0,0.9,2025-09,-360.94,-0.722,1,40,81,0.5185
7.0,0.9,2025-10,-7196.87,-14.394,1,40,113,0.4513
7.0,0.9,2025-11,354.81,0.71,1,40,89,0.5169
7.0,0.9,2025-12,309.75,0.62,1,40,91,0.5165
7.0,0.9,2026-01,-3209.5,-6.419,1,40,96,0.4896
7.0,0.9,2026-02,-3413.81,-6.828,1,40,95,0.5053
7.0,0.9,2026-03,-592.38,-1.185,1,40,105,0.4286
7.0,0.9,2026-04,-609.0,-1.218,1,40,100,0.53
7.0,0.9,2026-05,367.5,0.735,1,40,64,0.5156
7.0,0.95,2025-09,1693.56,3.387,1,40,65,0.5385
7.0,0.95,2025-10,-4004.0,-8.008,1,40,84,0.4524
7.0,0.95,2025-11,1499.75,2.999,1,40,71,0.4789
7.0,0.95,2025-12,1653.75,3.308,1,40,70,0.5286
7.0,0.95,2026-01,-2253.13,-4.506,1,40,71,0.4789
7.0,0.95,2026-02,-7224.44,-14.449,1,40,74,0.473
7.0,0.95,2026-03,-4804.63,-9.609,1,40,72,0.4306
7.0,0.95,2026-04,590.19,1.18,1,40,75,0.5067
7.0,0.95,2026-05,3992.62,7.985,1,40,52,0.5769
7.0,1.0,2025-09,1160.25,2.321,1,40,49,0.5306
7.0,1.0,2025-10,-8204.0,-16.408,1,40,62,0.4032
7.0,1.0,2025-11,-2002.0,-4.004,1,40,50,0.44
7.0,1.0,2025-12,1499.75,3.0,1,40,49,0.5714
7.0,1.0,2026-01,4543.0,9.086,1,40,44,0.5455
7.0,1.0,2026-02,-5376.44,-10.753,1,40,57,0.4912
7.0,1.0,2026-03,-6525.31,-13.051,1,40,50,0.38
7.0,1.0,2026-04,1357.56,2.715,1,40,60,0.5167
7.0,1.0,2026-05,3243.19,6.486,1,40,36,0.5556
7.0,0.8,2025-09,-10409.87,-20.82,2,40,134,0.5299
7.0,0.8,2025-10,-18083.62,-36.167,2,40,191,0.4712
7.0,0.8,2025-11,-2496.37,-4.993,2,40,187,0.4866
7.0,0.8,2025-12,-5075.0,-10.15,2,40,206,0.5049
7.0,0.8,2026-01,-4579.75,-9.16,2,40,195,0.4769
7.0,0.8,2026-02,2227.31,4.455,2,40,196,0.5255
7.0,0.8,2026-03,-464.19,-0.928,2,40,212,0.4575
7.0,0.8,2026-04,-4012.75,-8.026,2,40,202,0.495
7.0,0.8,2026-05,-926.63,-1.853,2,40,149,0.4564
7.0,0.85,2025-09,-1386.87,-2.774,2,40,105,0.5333
7.0,0.85,2025-10,-13513.94,-27.028,2,40,142,0.4859
7.0,0.85,2025-11,-4993.63,-9.987,2,40,112,0.4732
7.0,0.85,2025-12,-6664.44,-13.329,2,40,128,0.4844
7.0,0.85,2026-01,-4919.25,-9.838,2,40,128,0.4844
7.0,0.85,2026-02,829.94,1.66,2,40,129,0.5271
7.0,0.85,2026-03,-6003.81,-12.008,2,40,138,0.442
7.0,0.85,2026-04,-1203.56,-2.407,2,40,130,0.5154
7.0,0.85,2026-05,-1961.75,-3.923,2,40,90,0.4778
7.0,0.9,2025-09,-1786.31,-3.573,2,40,81,0.5185
7.0,0.9,2025-10,-15126.56,-30.253,2,40,113,0.4513
7.0,0.9,2025-11,1045.62,2.091,2,40,89,0.5169
7.0,0.9,2025-12,-38.5,-0.077,2,40,91,0.5165
7.0,0.9,2026-01,-6229.56,-12.459,2,40,96,0.4896
7.0,0.9,2026-02,-5352.81,-10.706,2,40,95,0.5053
7.0,0.9,2026-03,-3857.0,-7.714,2,40,105,0.4286
7.0,0.9,2026-04,-1534.75,-3.07,2,40,100,0.53
7.0,0.9,2026-05,-577.94,-1.156,2,40,64,0.5156
7.0,0.95,2025-09,5243.0,10.486,2,40,65,0.5385
7.0,0.95,2025-10,-10194.19,-20.388,2,40,84,0.4524
7.0,0.95,2025-11,1544.81,3.09,2,40,71,0.4789
7.0,0.95,2025-12,1963.06,3.926,2,40,70,0.5286
7.0,0.95,2026-01,-5204.5,-10.409,2,40,71,0.4789
7.0,0.95,2026-02,-12628.88,-25.258,2,40,74,0.473
7.0,0.95,2026-03,-9311.31,-18.623,2,40,72,0.4306
7.0,0.95,2026-04,-814.63,-1.629,2,40,75,0.5067
7.0,0.95,2026-05,4627.44,9.255,2,40,52,0.5769
7.0,1.0,2025-09,2143.31,4.287,2,40,49,0.5306
7.0,1.0,2025-10,-16699.37,-33.399,2,40,62,0.4032
7.0,1.0,2025-11,-3177.12,-6.354,2,40,50,0.44
7.0,1.0,2025-12,2959.25,5.919,2,40,49,0.5714
7.0,1.0,2026-01,6195.0,12.39,2,40,44,0.5455
7.0,1.0,2026-02,-8399.13,-16.798,2,40,57,0.4912
7.0,1.0,2026-03,-11721.06,-23.442,2,40,50,0.38
7.0,1.0,2026-04,946.31,1.893,2,40,60,0.5167
7.0,1.0,2026-05,3358.25,6.717,2,40,36,0.5556
7.0,0.8,2025-09,-17205.56,-34.411,3,40,134,0.5299
7.0,0.8,2025-10,-20510.0,-41.02,3,40,191,0.4712
7.0,0.8,2025-11,-3080.44,-6.161,3,40,187,0.4866
7.0,0.8,2025-12,-3146.94,-6.294,3,40,206,0.5049
7.0,0.8,2026-01,-2111.81,-4.224,3,40,195,0.4769
7.0,0.8,2026-02,-572.69,-1.145,3,40,89,0.5281
7.0,0.85,2025-09,-5177.37,-10.355,3,40,105,0.5333
7.0,0.85,2025-10,-18829.12,-37.658,3,40,142,0.4859
7.0,0.85,2025-11,-5441.63,-10.883,3,40,112,0.4732
7.0,0.85,2025-12,-7963.81,-15.928,3,40,128,0.4844
7.0,0.85,2026-01,-3815.87,-7.632,3,40,128,0.4844
7.0,0.85,2026-02,-1088.06,-2.176,3,40,129,0.5271
7.0,0.85,2026-03,-2356.81,-4.714,3,40,138,0.442
7.0,0.85,2026-04,-1503.25,-3.007,3,40,130,0.5154
7.0,0.85,2026-05,-490.44,-0.981,3,40,2,0.0
7.0,0.9,2025-09,-3868.37,-7.737,3,40,81,0.5185
7.0,0.9,2025-10,-21080.5,-42.161,3,40,113,0.4513
7.0,0.9,2025-11,549.06,1.098,3,40,89,0.5169
7.0,0.9,2025-12,-95.81,-0.192,3,40,91,0.5165
7.0,0.9,2026-01,-7248.94,-14.498,3,40,96,0.4896
7.0,0.9,2026-02,-6349.87,-12.7,3,40,95,0.5053
7.0,0.9,2026-03,-4110.31,-8.221,3,40,105,0.4286
7.0,0.9,2026-04,-1473.94,-2.948,3,40,100,0.53
7.0,0.9,2026-05,3.5,0.007,3,40,64,0.5156
7.0,0.95,2025-09,7330.75,14.662,3,40,65,0.5385
7.0,0.95,2025-10,-16649.06,-33.298,3,40,84,0.4524
7.0,0.95,2025-11,889.0,1.778,3,40,71,0.4789
7.0,0.95,2025-12,1173.81,2.348,3,40,70,0.5286
7.0,0.95,2026-01,-7876.31,-15.753,3,40,71,0.4789
7.0,0.95,2026-02,-14704.81,-29.41,3,40,74,0.473
7.0,0.95,2026-03,-9429.88,-18.86,3,40,72,0.4306
7.0,0.95,2026-04,-1199.19,-2.398,3,40,75,0.5067
7.0,0.95,2026-05,3242.31,6.485,3,40,52,0.5769
7.0,1.0,2025-09,2464.88,4.93,3,40,49,0.5306
7.0,1.0,2025-10,-24277.75,-48.555,3,40,62,0.4032
7.0,1.0,2025-11,-3826.37,-7.653,3,40,50,0.44
7.0,1.0,2025-12,3516.19,7.032,3,40,49,0.5714
7.0,1.0,2026-01,6772.94,13.546,3,40,44,0.5455
7.0,1.0,2026-02,-10946.69,-21.893,3,40,57,0.4912
7.0,1.0,2026-03,-12261.81,-24.524,3,40,50,0.38
7.0,1.0,2026-04,-940.63,-1.881,3,40,60,0.5167
7.0,1.0,2026-05,2404.5,4.809,3,40,36,0.5556
7.0,0.8,2025-09,-23460.94,-46.922,4,40,134,0.5299
7.0,0.8,2025-10,-19645.5,-39.291,4,40,191,0.4712
7.0,0.8,2025-11,-2671.38,-5.343,4,40,187,0.4866
7.0,0.8,2025-12,-1624.44,-3.249,4,40,53,0.4151
7.0,0.85,2025-09,-8452.5,-16.905,4,40,105,0.5333
7.0,0.85,2025-10,-22577.19,-45.154,4,40,142,0.4859
7.0,0.85,2025-11,-5870.38,-11.741,4,40,112,0.4732
7.0,0.85,2025-12,-6085.19,-12.17,4,40,128,0.4844
7.0,0.85,2026-01,-2638.12,-5.276,4,40,128,0.4844
7.0,0.85,2026-02,-1788.06,-3.576,4,40,71,0.493
7.0,0.9,2025-09,-6918.62,-13.837,4,40,81,0.5185
7.0,0.9,2025-10,-25075.31,-50.151,4,40,113,0.4513
7.0,0.9,2025-11,-810.25,-1.621,4,40,89,0.5169
7.0,0.9,2025-12,-1400.87,-2.802,4,40,91,0.5165
